epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
110,157.498,0.51924,0.37151,0.79582,0.95432,0.96243,0.93756,0.44483,1.48188,0.53576,1.18481,0.000636875,0.000636875,0.000636875
111,158.811,0.52697,0.37373,0.79163,0.93758,0.9449,0.91274,0.41429,1.52977,0.5521,1.22207,0.00063125,0.00063125,0.00063125
112,160.148,0.5406,0.37705,0.79827,0.93965,0.94724,0.92015,0.40187,1.57355,0.56707,1.25111,0.000625625,0.000625625,0.000625625
113,161.468,0.52596,0.38112,0.7946,0.94854,0.95571,0.93481,0.43499,1.49261,0.54633,1.20552,0.00062,0.00062,0.00062
114,162.802,0.54157,0.38493,0.79027,0.95694,0.9656,0.94782,0.44348,1.4715,0.54638,1.19118,0.000614375,0.000614375,0.000614375
115,164.296,0.51528,0.37256,0.79387,0.94438,0.95342,0.9297,0.42429,1.50301,0.55696,1.21475,0.00060875,0.00060875,0.00060875
116,165.708,0.54635,0.36981,0.79139,0.92252,0.93068,0.89367,0.3851,1.63621,0.62584,1.284,0.000603125,0.000603125,0.000603125
117,167.021,0.57099,0.38506,0.79326,0.93628,0.94388,0.91267,0.41089,1.55821,0.61396,1.24976,0.0005975,0.0005975,0.0005975
118,168.39,0.53679,0.39977,0.79554,0.94726,0.95508,0.93144,0.43054,1.5034,0.57664,1.21664,0.000591875,0.000591875,0.000591875
119,169.8,0.52901,0.37072,0.79278,0.94388,0.95179,0.92795,0.42945,1.50301,0.59223,1.21381,0.00058625,0.00058625,0.00058625
120,171.381,0.50027,0.36259,0.79225,0.94166,0.94956,0.92322,0.40966,1.54413,0.5758,1.24385,0.000580625,0.000580625,0.000580625
121,172.696,0.5313,0.36986,0.79399,0.94189,0.94992,0.92208,0.41535,1.52448,0.58173,1.23511,0.000575,0.000575,0.000575
122,173.989,0.52203,0.37428,0.78829,0.95038,0.95855,0.93505,0.42103,1.52033,0.57738,1.23284,0.000569375,0.000569375,0.000569375
123,175.313,0.51916,0.36847,0.79158,0.95137,0.95933,0.93619,0.42103,1.52291,0.57186,1.23346,0.00056375,0.00056375,0.00056375
124,176.699,0.51686,0.37056,0.79555,0.93758,0.94527,0.91392,0.40835,1.563,0.59708,1.25624,0.000558125,0.000558125,0.000558125
125,178.133,0.52518,0.36609,0.78944,0.93927,0.94681,0.91624,0.41181,1.54603,0.59761,1.24972,0.0005525,0.0005525,0.0005525
126,179.55,0.53699,0.37623,0.79082,0.94318,0.95085,0.91804,0.42532,1.504,0.58869,1.22374,0.000546875,0.000546875,0.000546875
127,180.892,0.51336,0.36046,0.79504,0.95069,0.95855,0.93182,0.43308,1.47313,0.5821,1.20575,0.00054125,0.00054125,0.00054125
128,182.242,0.50311,0.35695,0.78553,0.93831,0.94604,0.91274,0.40661,1.55614,0.56755,1.24876,0.000535625,0.000535625,0.000535625
129,183.571,0.51367,0.36347,0.7945,0.93726,0.94527,0.91178,0.41109,1.53913,0.55473,1.24007,0.00053,0.00053,0.00053
130,184.871,0.50173,0.36221,0.78707,0.95181,0.96004,0.93575,0.43576,1.49669,0.53219,1.21511,0.000524375,0.000524375,0.000524375
131,186.34,0.49382,0.34888,0.79066,0.95552,0.96375,0.94314,0.4373,1.4903,0.52747,1.21394,0.00051875,0.00051875,0.00051875
132,187.651,0.51471,0.34698,0.79314,0.94701,0.95488,0.92857,0.4185,1.52049,0.56159,1.235,0.000513125,0.000513125,0.000513125
133,188.989,0.50528,0.35786,0.79578,0.9558,0.96375,0.94443,0.44446,1.47174,0.551,1.19987,0.0005075,0.0005075,0.0005075
134,190.42,0.5379,0.36541,0.79047,0.95982,0.96751,0.94983,0.4524,1.46884,0.54328,1.19174,0.000501875,0.000501875,0.000501875
135,191.861,0.51244,0.36073,0.79253,0.94268,0.95085,0.92181,0.42319,1.50661,0.55573,1.21839,0.00049625,0.00049625,0.00049625
136,193.292,0.52811,0.35929,0.79369,0.9392,0.95003,0.92049,0.41048,1.52433,0.55628,1.22638,0.000490625,0.000490625,0.000490625
137,194.596,0.50073,0.34227,0.79335,0.94109,0.95291,0.92537,0.42346,1.48337,0.55379,1.19871,0.000485,0.000485,0.000485
138,195.896,0.52029,0.35503,0.78898,0.94433,0.95614,0.92846,0.41661,1.49191,0.56778,1.20253,0.000479375,0.000479375,0.000479375
139,197.221,0.50924,0.35286,0.79184,0.93315,0.94117,0.91219,0.4017,1.54119,0.58905,1.23272,0.00047375,0.00047375,0.00047375
140,198.539,0.49577,0.34296,0.79103,0.93767,0.95007,0.91754,0.40887,1.53185,0.58041,1.23122,0.000468125,0.000468125,0.000468125
141,199.991,0.48822,0.35265,0.78828,0.94948,0.95778,0.93396,0.42568,1.4962,0.55807,1.21104,0.0004625,0.0004625,0.0004625
